date,operation_type,store_code,department,quantity
4/25/2021,SALE,400000029528,Dep1,1
4/25/2021,SALE,400000034935,Dep2,1
4/25/2021,SALE,400000038117,Dep2,1
4/25/2021,SALE,400000034140,Dep2,1
4/25/2021,SALE,400000033563,Dep9,1
4/25/2021,SALE,400000014128,Dep1,1
4/25/2021,SALE,400000035918,Dep2,1
4/25/2021,SALE,400000035918,Dep2,1
4/25/2021,SALE,400000000435,Dep7,1
4/25/2021,SALE,400000030364,Dep14,4
4/25/2021,SALE,400000035147,Dep2,1
4/25/2021,SALE,400000012018,Dep5,1
4/25/2021,SALE,400000030234,Dep2,1
4/25/2021,SALE,400000032054,Dep5,1
4/25/2021,SALE,400000021393,Dep5,1
4/25/2021,SALE,400000006444,Dep1,1
4/25/2021,SALE,400000030074,Dep2,1
4/25/2021,SALE,400000001401,Dep1,1
4/25/2021,SALE,400000011134,Dep13,2
4/25/2021,SALE,400000038599,Dep2,1
4/25/2021,SALE,400000023779,Dep5,2
4/25/2021,SALE,400000037714,Dep2,1
4/25/2021,SALE,400000007212,Dep5,1
4/25/2021,SALE,400000000480,Dep1,2
4/25/2021,SALE,400000007045,Dep5,1
4/25/2021,SALE,400000003733,Dep5,1
4/24/2021,SALE,400000030869,Dep2,1
4/24/2021,SALE,400000027036,Dep1,1
4/24/2021,SALE,400000031804,Dep12,1
4/24/2021,SALE,400000036649,Dep2,1
